crop,region,season,crop_variety,growth_stage,application_time,soil_type,soil_ph,organic_matter,fertility_index,soil_moisture,drainage,rainfall_mm,temperature,humidity,sunshine_hours,nitrogen,phosphorus,potassium,fertilizer_type,application_method,planting_density,irrigation,previous_crop,pest_pressure,disease_risk,farmer_experience_years,farm_size_hectares,fertilizer_cost,yield_ton_per_ha,revenue,labour_cost,transport_cost,total_cost,profit,environmental_score,sustainability
Rice,Bono,Major,Jasmine,Vegetative,Afternoon,Clay Loam,6.06,3.2,87,60,Moderate,1161,31.5,81,6.2,93,38,67,Urea,Broadcast,22351,Flood,Cassava,High,High,10,7.13,1188,2.98,13410.0,474,154,1816,11594.0,93.04,Excellent
Groundnut,Bono,Major,Nkate SARI,Harvest,Afternoon,Clay,5.93,2.88,79,58,Low,1167,31.4,49,9.4,63,76,58,NPK 15-15-15,Side Dressing,31387,Sprinkler,Cocoa,Low,Low,9,2.17,1182,1.85,7770.0,966,229,2377,5393.0,88.2,Good
Pepper,Greater Accra,Minor,Bird Eye,Vegetative,Evening,Sandy,5.14,1.64,62,25,High,862,32.7,77,7.4,90,66,134,NPK 23-10-10,Side Dressing,22291,Drip,Yam,Medium,High,23,6.7,1740,8.0,28000.0,477,503,2720,25280.0,75.6,Good
Cassava,Ahafo,Minor,Ampong,Harvest,Evening,Sandy,6.35,1.32,60,33,High,1275,25.4,47,6.5,95,64,90,Ammonium Sulphate,Side Dressing,30279,Drip,Tomato,Low,Low,29,6.48,1494,10.0,9000.0,740,550,2784,6216.0,92.02,Excellent
Soybean,Northern,Major,Jenguma,Planting,Afternoon,Sandy Loam,6.22,3.64,100,49,Moderate,919,35.4,59,6.0,18,46,77,NPK 23-10-10,Band Placement,23378,Sprinkler,Rice,Medium,Medium,21,7.89,846,2.0,10000.0,949,319,2114,7886.0,89.5,Good
Maize,Northern,Major,Obatanpa,Harvest,Afternoon,Clay,6.15,3.97,52,69,Low,919,27.2,72,6.7,153,47,31,NPK 15-15-15,Side Dressing,25144,None,Cowpea,High,High,24,14.13,1386,3.5,11200.0,601,336,2323,8877.0,89.58,Good
Soybean,Savannah,Minor,Jenguma,Planting,Evening,Sandy Loam,6.64,3.11,57,73,Moderate,1053,32.6,87,7.0,38,88,82,NPK 23-10-10,Side Dressing,27324,Sprinkler,Soybean,High,Low,10,4.66,1248,2.0,10000.0,993,460,2701,7299.0,90.64,Excellent
Cocoa,Western,Minor,Amelonado,Fruiting,Evening,Loam,6.79,3.21,87,62,Moderate,1818,26.1,95,9.5,61,68,110,Urea,Broadcast,31214,Drip,Cassava,Low,Low,8,14.77,1434,1.53,27540.0,1186,187,2807,24733.0,79.92,Good
Groundnut,Greater Accra,Minor,Yenyawoso,Fruiting,Afternoon,Sandy,6.17,1.33,96,79,High,762,26.3,89,5.0,0,70,40,NPK 15-15-15,Band Placement,20184,Flood,Cocoa,High,High,20,5.1,660,1.5,6300.0,853,463,1976,4324.0,91.5,Excellent
Yam,Western,Major,Lariboko,Fruiting,Afternoon,Clay Loam,6.73,3.6,73,29,Moderate,1865,28.0,85,6.4,96,50,112,Urea,Band Placement,26849,None,Cassava,Low,Low,13,10.56,1548,13.84,30448.0,465,362,2375,28073.0,87.64,Good
Soybean,Western,Minor,Anidaso,Planting,Morning,Sandy,6.29,2.15,69,81,High,2030,25.1,94,7.9,0,67,54,Ammonium Sulphate,Band Placement,26818,Drip,Groundnut,Low,Medium,14,7.54,726,2.0,10000.0,1084,497,2307,7693.0,84.86,Good
Soybean,Western,Major,Jenguma,Harvest,Evening,Sandy,5.13,1.64,100,79,High,1627,29.3,82,7.8,13,48,51,Ammonium Sulphate,Band Placement,21467,Flood,Onion,Medium,Medium,9,11.4,672,2.61,13050.0,658,577,1907,11143.0,78.48,Good
Rice,Ashanti,Major,AGRA Rice,Flowering,Morning,Sandy,6.42,1.3,46,39,High,1235,29.0,86,5.2,90,33,55,NPK 15-15-15,Side Dressing,21571,Flood,Yam,Medium,Medium,6,9.29,1068,2.5,11250.0,1135,208,2411,8839.0,93.56,Excellent
Cassava,Bono East,Major,Afisiafi,Flowering,Evening,Clay Loam,7.04,4.57,51,58,Moderate,1192,27.6,90,6.0,126,22,105,NPK 15-15-15,Band Placement,26728,Flood,Cocoa,Medium,Low,17,9.89,1518,10.0,9000.0,830,571,2919,6081.0,85.06,Good
Groundnut,Volta,Minor,Nkate SARI,Fruiting,Evening,Clay,6.42,3.84,94,81,Low,1278,26.9,91,7.6,44,62,71,Urea,Band Placement,31954,Drip,Rice,Medium,Medium,8,11.38,1062,2.79,11718.0,1084,344,2490,9228.0,92.36,Excellent
Onion,Western North,Minor,Red Creole,Vegetative,Afternoon,Clay Loam,7.05,3.69,45,44,Moderate,1817,23.8,61,6.7,80,50,111,Ammonium Sulphate,Band Placement,27096,Drip,Yam,Medium,High,23,7.62,1446,12.0,33600.0,495,300,2241,31359.0,80.62,Good
Tomato,North East,Minor,Power Rano,Harvest,Afternoon,Clay Loam,6.5,4.76,62,59,Moderate,971,33.1,67,7.1,142,69,102,NPK 23-10-10,Band Placement,19958,Drip,Tomato,Low,High,16,4.51,1878,15.0,37500.0,1178,418,3474,34026.0,92.9,Excellent
Plantain,Bono East,Major,Apantu,Flowering,Morning,Loam,6.33,4.94,80,57,Moderate,1184,25.6,45,8.5,176,105,273,Ammonium Sulphate,Broadcast,18200,Sprinkler,Groundnut,Medium,Medium,11,3.17,3324,12.88,16744.0,889,208,4421,12323.0,88.24,Good
Rice,Western North,Major,AGRA Rice,Harvest,Evening,Sandy,6.49,1.18,93,73,High,1654,22.2,81,9.7,137,63,75,NPK 23-10-10,Side Dressing,24232,Flood,Groundnut,Medium,High,14,4.93,1650,3.7,16650.0,1024,528,3202,13448.0,85.98,Good
Rice,Greater Accra,Minor,Jasmine,Planting,Morning,Sandy Loam,6.34,3.19,63,24,Moderate,761,26.6,49,5.8,89,43,70,Urea,Side Dressing,25438,None,Cocoa,Low,Medium,26,11.97,1212,2.5,11250.0,602,367,2181,9069.0,92.88,Excellent
Rice,North East,Major,NERICA,Flowering,Morning,Clay Loam,7.38,4.1,74,58,Moderate,868,27.7,95,6.5,111,42,57,Ammonium Sulphate,Band Placement,19317,None,Soybean,High,Medium,20,4.13,1260,2.5,11250.0,1090,578,2928,8322.0,95.0,Excellent
Plantain,Ashanti,Minor,Oniaba,Harvest,Morning,Clay,5.77,3.17,85,82,Low,1289,26.2,86,7.2,171,95,247,Ammonium Sulphate,Band Placement,23260,None,Cassava,Medium,Medium,23,7.68,3078,13.68,17784.0,810,566,4454,13330.0,93.14,Excellent
Cowpea,Western,Major,Asontem,Flowering,Afternoon,Clay Loam,7.24,3.0,100,79,Moderate,1931,22.9,94,7.0,32,33,32,Urea,Side Dressing,30393,Flood,Cocoa,Medium,Low,7,4.37,582,1.94,9312.0,694,374,1650,7662.0,82.66,Good
Yam,Bono East,Major,Lariboko,Harvest,Morning,Sandy,5.34,2.26,52,79,High,1081,26.8,45,7.8,75,76,104,Ammonium Sulphate,Side Dressing,22781,Sprinkler,Soybean,Medium,Medium,8,7.12,1530,10.0,22000.0,595,456,2581,19419.0,77.1,Good
Cowpea,Bono,Minor,Asontem,Fruiting,Afternoon,Clay,6.76,3.16,87,82,Low,1359,25.4,45,6.4,0,58,54,Ammonium Sulphate,Band Placement,23446,Flood,Groundnut,Medium,Low,23,3.96,672,1.26,6048.0,1194,360,2226,3822.0,94.12,Excellent
Maize,Western North,Minor,Abontem,Fruiting,Evening,Clay Loam,6.5,3.25,99,76,Moderate,1755,25.0,47,5.6,92,68,44,NPK 15-15-15,Side Dressing,20361,Flood,Cocoa,Low,Low,16,11.83,1224,5.29,16928.0,1038,504,2766,14162.0,92.48,Excellent
Soybean,Savannah,Minor,Jenguma,Flowering,Evening,Loam,6.76,4.8,59,31,Moderate,1149,36.6,47,8.1,45,51,83,NPK 15-15-15,Band Placement,20725,Sprinkler,Maize,Low,Medium,26,1.31,1074,2.0,10000.0,841,224,2139,7861.0,88.98,Good
Tomato,Volta,Major,Roma,Vegetative,Morning,Loam,6.6,3.96,59,79,Moderate,1240,28.5,69,8.1,142,84,111,NPK 15-15-15,Band Placement,22712,Drip,Rice,Medium,Medium,19,4.84,2022,15.74,39350.0,1106,278,3406,35944.0,96.06,Excellent
Groundnut,Greater Accra,Minor,Yenyawoso,Fruiting,Morning,Clay,5.53,3.66,70,55,Low,760,28.4,67,7.9,0,71,68,NPK 15-15-15,Side Dressing,30208,Flood,Pepper,Low,High,26,5.61,834,1.5,6300.0,1035,278,2147,4153.0,89.84,Good
Cocoa,Bono East,Major,Amazon,Flowering,Afternoon,Clay,5.99,2.83,57,36,Low,1017,29.2,91,5.7,119,43,128,Urea,Broadcast,22210,Flood,Pepper,High,Medium,26,2.17,1740,0.89,16020.0,544,536,2820,13200.0,92.9,Excellent
Tomato,Upper West,Minor,Roma,Planting,Afternoon,Clay,6.38,3.64,68,33,Low,807,30.2,52,7.3,139,85,96,Urea,Side Dressing,21626,None,Cocoa,Medium,High,10,9.91,1920,15.0,37500.0,446,169,2535,34965.0,92.6,Excellent
Pepper,Bono East,Major,Bird Eye,Vegetative,Evening,Clay Loam,6.63,4.86,54,73,Moderate,1069,27.5,68,8.4,102,76,124,Ammonium Sulphate,Band Placement,18536,Sprinkler,Tomato,Medium,Medium,8,12.9,1812,8.0,28000.0,1102,338,3252,24748.0,91.12,Excellent
Cowpea,Ahafo,Minor,Songotra,Flowering,Morning,Loam,6.77,3.99,46,26,Moderate,1262,29.6,74,5.5,22,45,28,NPK 23-10-10,Broadcast,31595,Drip,Plantain,Low,Low,11,11.73,570,1.2,5760.0,1010,151,1731,4029.0,94.38,Excellent
Pepper,Central,Minor,Legon 18,Vegetative,Morning,Loam,6.71,2.54,61,26,Moderate,1413,24.1,67,8.9,106,92,111,NPK 15-15-15,Side Dressing,19041,Flood,Groundnut,Medium,High,19,2.08,1854,9.39,32865.0,1029,172,3055,29810.0,90.66,Excellent
Yam,Western,Major,Lariboko,Planting,Afternoon,Sandy Loam,5.89,2.16,83,38,Moderate,2011,25.4,51,7.5,68,43,112,Urea,Band Placement,27787,Sprinkler,Groundnut,High,High,14,1.94,1338,12.68,27896.0,1070,483,2891,25005.0,81.06,Good
Cowpea,Volta,Minor,Asontem,Vegetative,Afternoon,Sandy,5.47,1.47,61,67,High,1373,30.4,70,7.1,0,73,50,NPK 15-15-15,Broadcast,31627,None,Rice,Medium,Low,24,11.21,738,1.2,5760.0,969,180,1887,3873.0,79.54,Good
Plantain,Savannah,Major,Oniaba,Fruiting,Afternoon,Clay,6.4,2.7,81,84,Low,1116,36.5,91,5.3,187,74,267,Ammonium Sulphate,Broadcast,31881,None,Onion,High,Medium,4,11.56,3168,12.0,15600.0,839,582,4589,11011.0,91.08,Excellent
Cowpea,Northern,Major,Asontem,Vegetative,Afternoon,Loam,6.68,3.5,54,23,Moderate,1058,36.1,67,5.0,0,77,53,NPK 23-10-10,Band Placement,24878,Flood,Onion,Low,Medium,10,10.96,780,1.2,5760.0,981,455,2216,3544.0,90.12,Excellent
Rice,Central,Major,Jasmine,Harvest,Morning,Clay Loam,6.66,3.68,93,85,Moderate,1441,25.2,87,7.1,74,47,52,NPK 15-15-15,Band Placement,29111,Flood,Cowpea,High,Medium,2,3.7,1038,3.81,17145.0,456,153,1647,15498.0,94.3,Excellent
Tomato,Greater Accra,Major,Power Rano,Flowering,Afternoon,Loam,6.16,3.83,59,84,Moderate,783,26.1,76,8.7,181,97,117,NPK 15-15-15,Band Placement,30157,None,Soybean,Low,Medium,30,1.63,2370,15.0,37500.0,839,443,3652,33848.0,90.14,Excellent
Soybean,Oti,Major,Anidaso,Fruiting,Morning,Clay,5.63,3.69,60,75,Low,1466,24.4,84,7.3,65,70,68,NPK 15-15-15,Band Placement,23083,Sprinkler,Tomato,Medium,Low,3,7.9,1218,2.04,10200.0,922,249,2389,7811.0,92.26,Excellent
Onion,Central,Major,Texas Grano,Planting,Morning,Sandy,5.27,2.16,76,79,High,1531,24.6,83,5.8,142,83,102,Ammonium Sulphate,Side Dressing,27248,Sprinkler,Cocoa,Medium,Low,15,1.49,1962,16.72,46816.0,710,557,3229,43587.0,75.02,Good
Pepper,Ahafo,Minor,Cayenne,Harvest,Morning,Clay,5.62,3.73,99,31,Low,1358,25.7,47,5.3,168,83,117,Ammonium Sulphate,Band Placement,27508,None,Groundnut,High,High,7,5.16,2208,15.3,53550.0,554,181,2943,50607.0,89.04,Good
Groundnut,Savannah,Major,Nkate SARI,Harvest,Evening,Sandy Loam,6.43,3.22,68,67,Moderate,988,27.4,90,7.2,21,59,51,Urea,Side Dressing,27795,None,Cocoa,High,Medium,3,5.28,786,1.5,6300.0,795,295,1876,4424.0,98.88,Excellent
Pepper,Central,Minor,Cayenne,Planting,Evening,Sandy Loam,5.95,3.42,50,59,Moderate,1472,30.3,64,9.8,161,69,126,Urea,Broadcast,28979,None,Cocoa,High,Medium,17,5.75,2136,8.36,29260.0,584,259,2979,26281.0,91.32,Excellent
Onion,Greater Accra,Major,Texas Grano,Vegetative,Morning,Clay Loam,7.25,5.21,47,63,Moderate,719,27.7,95,5.5,149,43,103,Ammonium Sulphate,Broadcast,20658,Drip,Yam,High,Low,24,6.85,1770,12.0,33600.0,1092,518,3380,30220.0,86.9,Good
Tomato,Oti,Minor,Power Rano,Vegetative,Evening,Loam,6.44,4.87,73,79,Moderate,1422,25.5,95,7.3,146,104,119,Ammonium Sulphate,Broadcast,31383,Drip,Plantain,Low,Medium,2,9.8,2214,22.11,55275.0,967,202,3383,51892.0,93.82,Excellent
Yam,Oti,Major,Pona,Vegetative,Afternoon,Sandy,6.42,1.33,73,64,High,1530,30.2,54,9.2,63,61,98,Ammonium Sulphate,Side Dressing,24126,Drip,Soybean,Low,Medium,8,0.91,1332,10.56,23232.0,1131,482,2945,20287.0,89.16,Good
Onion,Central,Major,Red Creole,Flowering,Afternoon,Sandy,6.36,1.03,58,39,High,1471,29.1,75,7.2,140,81,103,Ammonium Sulphate,Broadcast,30716,Sprinkler,Tomato,Medium,Low,2,3.96,1944,13.55,37940.0,1037,384,3365,34575.0,87.64,Good
Rice,Western North,Major,Jasmine,Harvest,Evening,Clay Loam,6.53,4.43,56,30,Moderate,1847,26.7,63,7.1,127,48,29,NPK 15-15-15,Band Placement,25702,None,Cocoa,Medium,Medium,9,11.34,1224,2.5,11250.0,469,326,2019,9231.0,82.92,Good
Tomato,Bono East,Minor,Roma,Vegetative,Morning,Sandy Loam,6.98,2.96,56,37,Moderate,1180,28.9,86,5.9,118,100,144,Ammonium Sulphate,Broadcast,22807,Drip,Maize,Low,Low,11,14.03,2172,15.0,37500.0,956,392,3520,33980.0,85.52,Good
Pepper,Greater Accra,Minor,Legon 18,Flowering,Morning,Sandy Loam,6.87,3.49,69,63,Moderate,867,28.0,52,9.0,113,76,129,Ammonium Sulphate,Band Placement,31062,Sprinkler,Rice,High,Medium,3,6.74,1908,8.0,28000.0,584,429,2921,25079.0,92.2,Excellent
Pepper,Bono East,Major,Bird Eye,Flowering,Evening,Loam,6.83,3.38,47,65,Moderate,1151,26.8,83,8.6,168,72,102,NPK 15-15-15,Broadcast,28996,Flood,Onion,High,High,22,2.82,2052,8.0,28000.0,1022,497,3571,24429.0,91.28,Excellent
Groundnut,Central,Major,Nkate SARI,Vegetative,Evening,Loam,6.81,4.87,68,76,Moderate,1587,25.9,81,5.2,0,71,33,Urea,Band Placement,23150,Sprinkler,Tomato,Low,Low,24,3.2,624,1.5,6300.0,975,210,1809,4491.0,90.02,Excellent
Pepper,Western,Major,Bird Eye,Harvest,Afternoon,Sandy Loam,6.01,3.43,50,60,Moderate,2102,23.6,53,9.3,134,90,89,Urea,Band Placement,31948,Drip,Yam,High,High,21,3.02,1878,8.0,28000.0,629,212,2719,25281.0,83.1,Good
Tomato,North East,Minor,Pectomech,Planting,Afternoon,Clay Loam,6.19,5.21,49,59,Moderate,991,33.3,74,9.0,160,100,141,Ammonium Sulphate,Side Dressing,24730,Flood,Plantain,Low,Low,11,9.81,2406,15.0,37500.0,1096,414,3916,33584.0,90.02,Excellent
Onion,Eastern,Major,Red Creole,Fruiting,Evening,Loam,6.19,4.84,59,64,Moderate,1328,28.7,78,5.8,136,53,70,Urea,Broadcast,28404,Sprinkler,Cassava,High,Medium,20,8.24,1554,12.65,35420.0,572,453,2579,32841.0,90.18,Excellent
Plantain,Eastern,Minor,Apem,Harvest,Morning,Clay,6.48,3.53,71,23,Low,1314,22.6,86,8.9,223,105,259,Urea,Side Dressing,22949,Flood,Tomato,High,Medium,10,7.08,3522,12.0,15600.0,561,375,4458,11142.0,90.94,Excellent
Soybean,Western,Major,Anidaso,Flowering,Evening,Clay,6.96,2.26,68,85,Low,1747,24.5,90,6.6,61,51,55,NPK 23-10-10,Band Placement,20007,Sprinkler,Groundnut,Low,Low,4,1.23,1002,2.57,12850.0,1030,364,2396,10454.0,89.34,Good
Tomato,Savannah,Minor,Pectomech,Vegetative,Morning,Clay,6.25,2.18,70,84,Low,1155,38.0,74,7.5,168,70,108,Urea,Broadcast,18828,Sprinkler,Groundnut,High,High,22,7.32,2076,15.0,37500.0,510,370,2956,34544.0,92.4,Excellent
Cassava,Upper East,Minor,Afisiafi,Flowering,Morning,Clay Loam,6.43,3.97,73,55,Moderate,905,28.6,80,6.0,129,58,94,NPK 15-15-15,Broadcast,19584,Flood,Onion,Medium,High,12,11.45,1686,10.7,9630.0,921,355,2962,6668.0,86.5,Good
Cowpea,Ahafo,Major,Asontem,Vegetative,Evening,Clay Loam,7.34,3.35,84,60,Moderate,1370,28.4,78,7.3,0,55,59,Urea,Side Dressing,23511,Flood,Yam,High,Medium,16,12.33,684,1.41,6768.0,1089,206,1979,4789.0,93.88,Excellent
Soybean,Ashanti,Minor,Anidaso,Flowering,Evening,Sandy Loam,6.0,3.26,84,68,Moderate,1496,27.2,91,5.3,8,88,50,NPK 15-15-15,Side Dressing,29477,None,Tomato,Low,Medium,11,6.57,876,2.44,12200.0,608,360,1844,10356.0,90.28,Excellent
Cowpea,Ahafo,Major,Songotra,Harvest,Morning,Sandy Loam,6.18,2.35,79,63,Moderate,1487,24.6,87,7.4,49,52,63,Urea,Side Dressing,25932,Drip,Tomato,Medium,High,10,3.76,984,2.46,11808.0,704,544,2232,9576.0,90.88,Excellent
Pepper,Greater Accra,Minor,Cayenne,Flowering,Afternoon,Clay,5.68,3.35,69,70,Low,789,30.0,95,8.6,134,94,94,Urea,Broadcast,22712,None,Onion,Medium,High,9,11.34,1932,8.0,28000.0,951,288,3171,24829.0,91.12,Excellent
Cowpea,Central,Major,Songotra,Harvest,Evening,Clay Loam,6.34,3.58,51,72,Moderate,1700,24.9,48,8.3,22,75,50,NPK 15-15-15,Side Dressing,30628,Drip,Maize,High,Low,14,9.97,882,1.57,7536.0,887,394,2163,5373.0,94.34,Excellent
Cocoa,Oti,Minor,Amazon,Flowering,Evening,Loam,6.64,4.31,47,42,Moderate,1330,30.3,50,8.3,103,31,97,Ammonium Sulphate,Band Placement,21052,Sprinkler,Maize,Low,Medium,19,9.24,1386,0.86,15480.0,743,295,2424,13056.0,90.44,Excellent
Groundnut,Central,Minor,Yenyawoso,Flowering,Morning,Clay,6.58,2.03,66,57,Low,1457,25.6,91,7.3,57,78,73,NPK 23-10-10,Broadcast,28009,Flood,Soybean,High,Medium,3,6.31,1248,2.06,8652.0,543,394,2185,6467.0,86.14,Good
Onion,Ashanti,Minor,Red Creole,Fruiting,Morning,Clay Loam,6.02,4.63,89,50,Moderate,1428,28.8,66,6.5,77,77,72,Ammonium Sulphate,Band Placement,20616,Flood,Cocoa,High,High,25,5.01,1356,19.19,53732.0,702,338,2396,51336.0,87.08,Good
Plantain,North East,Major,Apem,Fruiting,Morning,Clay Loam,7.37,4.89,96,47,Moderate,966,35.2,83,6.9,191,108,273,NPK 15-15-15,Side Dressing,25319,Sprinkler,Rice,High,Low,2,12.52,3432,12.0,15600.0,607,443,4482,11118.0,90.28,Excellent
Cowpea,Eastern,Minor,Asontem,Harvest,Afternoon,Sandy,6.35,1.67,48,78,High,1359,27.4,90,7.9,0,62,46,Ammonium Sulphate,Side Dressing,18945,Flood,Cocoa,Medium,High,1,6.24,648,1.2,5760.0,1163,261,2072,3688.0,94.68,Excellent
Plantain,Ahafo,Minor,Apem,Flowering,Evening,Sandy,6.48,1.71,63,72,High,1232,26.3,48,9.7,183,114,233,Ammonium Sulphate,Band Placement,24266,Flood,Soybean,Medium,Low,22,14.48,3180,12.0,15600.0,536,484,4200,11400.0,88.6,Good
Onion,Eastern,Minor,Red Creole,Harvest,Morning,Clay,6.19,3.44,72,68,Low,1414,28.7,93,5.1,99,50,94,Urea,Broadcast,22516,Drip,Yam,Low,Low,26,10.07,1458,14.93,41804.0,416,273,2147,39657.0,95.1,Excellent
Tomato,Bono East,Major,Pectomech,Fruiting,Evening,Loam,6.65,4.39,94,27,Moderate,1024,26.2,47,7.0,127,87,113,NPK 23-10-10,Side Dressing,27438,Sprinkler,Plantain,High,High,27,5.15,1962,19.28,48200.0,546,488,2996,45204.0,93.06,Excellent
Cowpea,Volta,Minor,Asontem,Flowering,Morning,Sandy Loam,6.47,2.09,67,68,Moderate,1485,31.5,92,9.6,47,50,64,Ammonium Sulphate,Band Placement,20444,Sprinkler,Soybean,Low,High,16,3.99,966,1.73,8304.0,1124,223,2313,5991.0,90.62,Excellent
Groundnut,Volta,Minor,Nkate SARI,Harvest,Evening,Sandy,6.38,2.27,50,44,High,1268,26.5,61,6.0,0,52,49,NPK 15-15-15,Broadcast,21082,Drip,Groundnut,Low,Medium,10,14.38,606,1.5,6300.0,594,529,1729,4571.0,93.56,Excellent
Rice,Western North,Major,NERICA,Harvest,Evening,Clay,6.07,3.07,67,59,Low,1809,24.2,60,7.8,93,48,57,Ammonium Sulphate,Band Placement,19615,Flood,Onion,Low,Medium,11,6.5,1188,2.62,11790.0,626,529,2343,9447.0,89.04,Good
Cassava,Northern,Minor,Bankye Hemaa,Flowering,Morning,Loam,6.6,4.14,88,63,Moderate,1000,29.6,69,7.8,82,63,86,Ammonium Sulphate,Band Placement,20756,Sprinkler,Cassava,Low,High,18,7.58,1386,13.42,12078.0,955,478,2819,9259.0,92.42,Excellent
Maize,Ahafo,Major,Omankwa,Planting,Morning,Loam,6.01,3.76,68,27,Moderate,1411,23.1,85,6.2,159,75,57,Ammonium Sulphate,Side Dressing,25993,None,Maize,High,High,14,0.67,1746,3.95,12640.0,681,424,2851,9789.0,86.62,Good
Pepper,Volta,Major,Legon 18,Planting,Morning,Clay,6.72,2.53,70,30,Low,1468,24.3,57,8.1,137,70,114,NPK 23-10-10,Side Dressing,21700,Sprinkler,Cocoa,Low,High,28,9.92,1926,10.16,35560.0,815,344,3085,32475.0,98.02,Excellent
Soybean,Ahafo,Major,Anidaso,Vegetative,Morning,Clay Loam,7.47,5.43,78,25,Moderate,1455,28.8,86,8.9,19,58,79,Ammonium Sulphate,Band Placement,18762,None,Cocoa,Medium,High,19,10.04,936,2.54,12700.0,722,158,1816,10884.0,91.96,Excellent
Tomato,Central,Minor,Roma,Planting,Afternoon,Sandy Loam,6.61,3.08,69,37,Moderate,1483,27.5,81,9.2,120,87,142,Urea,Broadcast,19600,Flood,Tomato,Low,Medium,20,11.65,2094,21.3,53250.0,806,546,3446,49804.0,89.1,Good
Onion,Northern,Minor,Red Creole,Fruiting,Morning,Clay Loam,6.99,3.21,84,57,Moderate,1082,32.1,69,7.2,101,80,69,NPK 15-15-15,Band Placement,20526,Flood,Yam,High,Low,24,6.15,1500,13.06,36568.0,493,152,2145,34423.0,90.2,Excellent
Pepper,Upper East,Minor,Bird Eye,Planting,Morning,Clay Loam,6.61,3.07,67,31,Moderate,744,30.2,73,7.8,166,83,135,Urea,Band Placement,18202,Sprinkler,Soybean,Medium,Low,24,13.57,2304,8.0,28000.0,648,442,3394,24606.0,86.16,Good
Cowpea,Upper West,Major,Asontem,Vegetative,Afternoon,Sandy Loam,6.13,2.6,95,29,Moderate,954,30.2,54,5.3,26,46,35,Ammonium Sulphate,Side Dressing,28103,Drip,Groundnut,Low,Low,10,0.6,642,1.39,6672.0,1035,344,2021,4651.0,95.14,Excellent
Onion,Savannah,Minor,Texas Grano,Harvest,Morning,Clay,5.77,2.8,65,57,Low,1053,30.5,89,6.0,132,71,115,NPK 23-10-10,Band Placement,24161,Sprinkler,Soybean,Medium,Low,30,8.68,1908,12.0,33600.0,958,242,3108,30492.0,89.12,Good
